Store_Key,Store_Name,Channel,Store_Grade,Region_Key,Sub_Channel,Payment_Term,Latitude,Longitude
1,Supermarket Turner Group,Traditional Trade,Class C,12,Restaurant,Cash,29.949943,31.288119
2,Market Yates Conway and Ramsey,Traditional Trade,Class C,18,Wholesale,Cash,29.102554,30.314872
3,Hypermarket Young-Nixon,Traditional Trade,Class B,6,Supermarket,Cash,27.902239,31.169388
4,Supermarket Graves PLC,Traditional Trade,Class A,5,Restaurant,Cash,28.447326,31.59805
5,Grocery Meyer-Ruiz,HORECA,Class A,21,Cafeteria,Cash,29.627259,30.817938
6,Hypermarket Carr Richards and Stafford,Modern Trade,Class C,17,Mini Market,Cash,29.71662,30.723493
7,Hypermarket Calhoun Ford and Randolph,HORECA,Class B,27,Mini Market,Cash,29.090131,30.523491
8,Market Wilson Group,Modern Trade,Class C,15,Cafeteria,Credit 15 Days,30.789375,31.927349
9,Market Johnson Group,HORECA,Class C,33,Wholesale,Credit 15 Days,28.535209,32.994131
10,Grocery Garza Flores and Stevens,Traditional Trade,Class C,1,Cafeteria,Cash,28.508441,29.883447
11,Market Cook Carter and Keith,Traditional Trade,Class A,18,Mini Market,Cash,30.813288,32.708728
12,Grocery Lewis Wells and Lawrence,Modern Trade,Class C,17,Supermarket,Cash,31.249022,32.597463
13,Market Reid LLC,HORECA,Class A,17,Wholesale,Cash,30.15035,30.602215
14,Hypermarket Burke-Hernandez,Modern Trade,Class A,10,Cafeteria,Credit 30 Days,28.535912,32.89452
15,Market Lozano-Jones,HORECA,Class C,6,Supermarket,Credit 15 Days,29.362054,31.670164
16,Grocery Hernandez Johnson and Johnson,Traditional Trade,Class A,21,Wholesale,Credit 30 Days,31.271668,30.965141
17,Supermarket Hall and Sons,HORECA,Class C,27,Kiosk,Credit 30 Days,28.127337,32.022386
18,Supermarket Nelson and Sons,Traditional Trade,Class C,20,Mini Market,Cash,27.436027,29.577924
19,Hypermarket Bullock Group,HORECA,Class C,24,Restaurant,Credit 15 Days,30.488427,30.082353
20,Hypermarket Ryan Hansen and Coleman,Traditional Trade,Class A,8,Supermarket,Credit 30 Days,30.493486,32.522289
21,Market Cook-Johnston,Modern Trade,Class A,25,Cafeteria,Cash,31.025236,32.884019
22,Hypermarket Green Gardner and Baker,Traditional Trade,Class B,28,Cafeteria,Credit 15 Days,27.894855,30.342011
23,Hypermarket Cox-Murray,HORECA,Class C,16,Wholesale,Credit 30 Days,30.045033,32.197537
24,Hypermarket Harris-Gray,HORECA,Class C,1,Kiosk,Credit 15 Days,29.820559,31.788406
25,Supermarket Tucker-Long,Traditional Trade,Class B,24,Supermarket,Credit 15 Days,28.459327,32.6801
26,Market Lawrence Silva and Miranda,Modern Trade,Class B,12,Restaurant,Cash,30.054498,31.811048
27,Supermarket Day-Owens,Modern Trade,Class B,9,Supermarket,Credit 15 Days,31.352506,31.336896
28,Market Rivera PLC,Traditional Trade,Class C,34,Restaurant,Credit 15 Days,29.813154,32.507765
29,Hypermarket Powers Lopez and Harris,Modern Trade,Class A,17,Restaurant,Cash,29.228618,29.014955
30,Hypermarket Sheppard-Todd,Traditional Trade,Class C,18,Cafeteria,Credit 30 Days,28.464015,29.718749
31,Grocery Edwards Carrillo and Soto,HORECA,Class C,11,Mini Market,Credit 15 Days,29.312636,29.581524
32,Market Anderson Bell and Wilson,Modern Trade,Class B,7,Restaurant,Cash,27.849103,30.863738
33,Hypermarket Turner-Ramos,Modern Trade,Class C,25,Restaurant,Credit 30 Days,27.739509,30.398082
34,Supermarket Phillips Inc,HORECA,Class B,13,Supermarket,Cash,27.024283,31.216787
35,Market Saunders Melton and Hernandez,Traditional Trade,Class A,4,Wholesale,Credit 15 Days,27.590881,31.161345
36,Market Reid French and Rhodes,Modern Trade,Class C,10,Cafeteria,Credit 15 Days,28.574533,29.938539
37,Supermarket Campos Perez and Williams,Traditional Trade,Class A,11,Cafeteria,Credit 15 Days,27.096218,31.633429
38,Grocery Wang-Stanton,HORECA,Class B,2,Kiosk,Cash,28.24703,29.364364
39,Market Murillo Escobar and Ward,Traditional Trade,Class B,26,Supermarket,Credit 30 Days,30.491269,32.15512
40,Supermarket Zimmerman-Mueller,Traditional Trade,Class B,30,Supermarket,Credit 15 Days,31.042533,29.310466
41,Market Taylor-Johns,Traditional Trade,Class C,31,Restaurant,Credit 15 Days,29.855463,29.836935
42,Hypermarket Rasmussen Martin and Wiggins,Modern Trade,Class B,11,Restaurant,Credit 15 Days,30.52357,31.60021
43,Market Church Inc,Traditional Trade,Class C,27,Mini Market,Cash,30.289254,31.147634
44,Supermarket Maldonado Nunez and Espinoza,HORECA,Class A,23,Cafeteria,Credit 15 Days,29.232316,31.653109
45,Grocery Moreno Inc,HORECA,Class A,31,Restaurant,Credit 30 Days,27.74712,32.660848
46,Supermarket Williams-Brady,Traditional Trade,Class B,7,Mini Market,Credit 15 Days,27.191645,31.075079
47,Hypermarket Graham-Klein,Traditional Trade,Class A,15,Restaurant,Cash,29.302642,31.106619
48,Hypermarket Matthews-Lowe,Traditional Trade,Class A,2,Restaurant,Credit 15 Days,27.346405,30.631182
49,Hypermarket Cook LLC,HORECA,Class A,24,Cafeteria,Credit 15 Days,28.150137,29.694367
50,Market Carter-Davis,Modern Trade,Class B,35,Mini Market,Cash,29.648756,29.628537
51,Market Cole-Ellis,Traditional Trade,Class A,7,Restaurant,Credit 15 Days,28.22344,30.060948
52,Grocery Buckley Group,HORECA,Class A,20,Restaurant,Credit 15 Days,29.800236,30.130426
53,Hypermarket Collins Ltd,Modern Trade,Class C,22,Restaurant,Credit 30 Days,30.809231,32.613409
54,Grocery Ray-Pittman,Modern Trade,Class A,14,Supermarket,Credit 15 Days,29.093854,31.852379
55,Market Owens Sheppard and Hunt,Traditional Trade,Class C,28,Restaurant,Cash,27.904381,30.688511
56,Supermarket Jones Saunders and Joseph,Modern Trade,Class B,22,Restaurant,Credit 30 Days,29.970005,31.83163
57,Hypermarket Williams Ltd,HORECA,Class C,2,Restaurant,Credit 15 Days,28.034146,32.742329
58,Supermarket Patterson LLC,Traditional Trade,Class B,35,Restaurant,Credit 30 Days,30.051889,29.918959
59,Market Ellis PLC,Traditional Trade,Class A,5,Wholesale,Cash,28.311872,32.070195
60,Grocery Harris Inc,HORECA,Class B,11,Mini Market,Credit 30 Days,30.141821,29.857465
61,Supermarket Sanchez LLC,HORECA,Class C,6,Restaurant,Credit 15 Days,29.9295,30.40457
62,Hypermarket Torres Ltd,Traditional Trade,Class B,22,Kiosk,Cash,28.465525,31.372213
63,Market Mosley-Boyer,HORECA,Class C,3,Wholesale,Credit 15 Days,30.117172,29.777738
64,Supermarket Mack-Cole,HORECA,Class C,33,Cafeteria,Cash,27.320824,32.146164
65,Grocery Murphy and Sons,Modern Trade,Class B,28,Mini Market,Credit 15 Days,31.408704,31.522709
66,Market Thomas Parker and Martinez,Modern Trade,Class A,25,Mini Market,Credit 30 Days,28.117224,31.153857
