Date_Key,Region_Key,Brand_Name,Volume_Share_%,Value_Share_%,Competitor_Price,Availability_Status,Shelf_Space_Share
2023-01-01,1,Shams-Cola,6.2,6.78,13.8,Yes,43.7
2023-01-01,1,Pepsi,22.92,26.21,12.9,No,13.2
2023-01-01,1,Coca-Cola,17.04,20.29,11.98,Yes,48.5
2023-01-01,1,Big Cola,22.15,23.39,21.49,Yes,35.0
2023-01-01,1,Spiro Spathis,2.17,1.89,21.49,No,45.3
2023-01-01,1,V7,34.26,38.58,15.81,Yes,37.2
2023-01-01,1,Sina Cola,24.41,24.42,28.41,No,14.6
2023-01-01,2,Shams-Cola,23.5,19.86,18.42,Yes,43.3
2023-01-01,2,Pepsi,29.44,26.4,21.53,Yes,27.0
2023-01-01,2,Coca-Cola,34.02,27.77,23.61,Yes,20.1
2023-01-01,2,Big Cola,34.83,39.1,17.69,Yes,26.0
2023-01-01,2,Spiro Spathis,3.26,3.21,22.47,Yes,46.6
2023-01-01,2,V7,17.21,14.19,22.75,Yes,45.5
2023-01-01,2,Sina Cola,4.49,4.04,27.28,Yes,40.6
2023-01-01,3,Shams-Cola,10.17,12.07,11.59,Yes,6.9
2023-01-01,3,Pepsi,2.95,2.54,11.3,Yes,39.6
2023-01-01,3,Coca-Cola,31.97,37.58,11.32,Yes,22.9
2023-01-01,3,Big Cola,20.42,19.12,29.85,Yes,33.5
2023-01-01,3,Spiro Spathis,30.25,25.84,28.28,Yes,36.7
2023-01-01,3,V7,38.24,35.59,25.84,Yes,19.1
2023-01-01,3,Sina Cola,39.65,38.29,28.57,Yes,22.9
2023-01-01,4,Shams-Cola,24.14,22.99,27.48,Yes,34.3
2023-01-01,4,Pepsi,30.07,29.68,21.49,Yes,48.4
2023-01-01,4,Coca-Cola,35.45,37.0,27.4,Yes,14.5
2023-01-01,4,Big Cola,16.63,16.18,26.49,Yes,12.6
2023-01-01,4,Spiro Spathis,39.15,33.58,10.21,Yes,42.2
2023-01-01,4,V7,16.36,14.5,16.8,Yes,14.2
2023-01-01,4,Sina Cola,35.39,30.06,29.7,No,15.4
2023-01-01,5,Shams-Cola,17.91,16.62,24.67,No,48.6
2023-01-01,5,Pepsi,12.3,13.55,12.83,Yes,47.8
2023-01-01,5,Coca-Cola,33.35,32.49,27.85,No,27.0
2023-01-01,5,Big Cola,7.69,8.9,29.98,Yes,35.3
2023-01-01,5,Spiro Spathis,32.18,33.62,23.36,Yes,38.5
2023-01-01,5,V7,30.9,28.22,18.09,Yes,19.0
2023-01-01,5,Sina Cola,17.44,17.37,15.35,Yes,5.1
2023-01-01,6,Shams-Cola,20.05,22.88,24.53,Yes,16.8
2023-01-01,6,Pepsi,10.21,8.36,24.31,Yes,8.6
2023-01-01,6,Coca-Cola,38.01,37.87,19.93,Yes,32.8
2023-01-01,6,Big Cola,32.64,29.65,10.53,Yes,8.8
2023-01-01,6,Spiro Spathis,39.29,37.5,29.32,Yes,12.9
2023-01-01,6,V7,32.2,26.67,10.48,Yes,39.3
2023-01-01,6,Sina Cola,24.5,25.35,25.5,Yes,45.4
2023-01-01,7,Shams-Cola,26.31,30.3,16.32,Yes,48.1
2023-01-01,7,Pepsi,6.41,6.32,10.53,No,49.5
2023-01-01,7,Coca-Cola,6.51,6.33,19.38,Yes,36.0
2023-01-01,7,Big Cola,26.95,26.46,28.24,Yes,16.2
2023-01-01,7,Spiro Spathis,29.26,24.67,15.72,No,20.3
2023-01-01,7,V7,10.47,10.93,15.41,No,30.8
2023-01-01,7,Sina Cola,36.83,42.46,16.25,Yes,12.4
2023-01-01,8,Shams-Cola,12.6,14.81,21.66,Yes,34.7
2023-01-01,8,Pepsi,16.99,18.44,15.72,Yes,49.9
2023-01-01,8,Coca-Cola,28.65,33.05,16.99,Yes,19.6
2023-01-01,8,Big Cola,2.15,2.27,24.4,Yes,39.7
2023-01-01,8,Spiro Spathis,23.08,22.75,20.4,No,5.9
2023-01-01,8,V7,18.57,19.49,10.67,Yes,34.6
2023-01-01,8,Sina Cola,26.38,27.41,15.26,Yes,25.2
2023-01-01,9,Shams-Cola,19.38,16.71,25.77,Yes,7.7
2023-01-01,9,Pepsi,16.34,19.22,22.32,Yes,14.2
2023-01-01,9,Coca-Cola,30.51,33.98,18.92,Yes,19.3
2023-01-01,9,Big Cola,13.96,11.2,15.34,Yes,26.7
2023-01-01,9,Spiro Spathis,37.57,31.05,16.57,Yes,46.9
2023-01-01,9,V7,2.74,2.96,19.13,Yes,19.8
2023-01-01,9,Sina Cola,20.45,18.66,11.22,Yes,7.2
2023-01-01,10,Shams-Cola,24.37,21.78,26.56,Yes,26.6
2023-01-01,10,Pepsi,23.81,24.76,29.21,Yes,27.7
2023-01-01,10,Coca-Cola,25.73,22.18,29.02,Yes,29.9
2023-01-01,10,Big Cola,33.4,31.95,17.25,Yes,22.9
2023-01-01,10,Spiro Spathis,18.44,15.98,26.85,Yes,41.5
2023-01-01,10,V7,39.04,45.92,17.87,Yes,9.0
2023-01-01,10,Sina Cola,2.16,1.88,23.85,Yes,46.1
2023-01-01,11,Shams-Cola,10.91,10.86,21.05,Yes,31.7
2023-01-01,11,Pepsi,7.91,7.67,23.18,Yes,14.7
2023-01-01,11,Coca-Cola,5.62,5.65,28.01,Yes,29.3
2023-01-01,11,Big Cola,27.54,29.27,14.97,Yes,11.2
2023-01-01,11,Spiro Spathis,18.96,21.56,15.89,Yes,34.3
2023-01-01,11,V7,25.6,26.96,18.08,Yes,44.0
2023-01-01,11,Sina Cola,15.72,14.56,17.16,No,16.1
2023-01-01,12,Shams-Cola,28.53,30.43,22.48,Yes,28.9
2023-01-01,12,Pepsi,6.14,5.15,10.88,Yes,46.6
2023-01-01,12,Coca-Cola,25.19,29.35,15.26,Yes,8.7
2023-01-01,12,Big Cola,18.73,21.74,11.12,Yes,38.2
2023-01-01,12,Spiro Spathis,16.37,15.84,27.89,Yes,41.5
2023-01-01,12,V7,15.35,16.99,26.1,Yes,39.8
2023-01-01,12,Sina Cola,3.68,3.91,20.28,Yes,6.9
2023-01-01,13,Shams-Cola,30.87,28.75,27.75,Yes,26.0
2023-01-01,13,Pepsi,30.34,32.76,15.47,Yes,11.0
2023-01-01,13,Coca-Cola,33.29,30.79,13.74,Yes,12.7
2023-01-01,13,Big Cola,14.79,14.75,21.49,Yes,39.1
2023-01-01,13,Spiro Spathis,9.78,10.6,16.85,Yes,14.1
2023-01-01,13,V7,8.87,7.64,15.97,Yes,31.4
2023-01-01,13,Sina Cola,3.11,3.03,19.02,Yes,26.3
2023-01-01,14,Shams-Cola,30.53,25.92,23.71,Yes,12.3
2023-01-01,14,Pepsi,8.48,7.9,16.6,Yes,12.2
2023-01-01,14,Coca-Cola,9.1,8.5,26.64,Yes,42.0
2023-01-01,14,Big Cola,39.89,45.05,14.15,Yes,7.3
2023-01-01,14,Spiro Spathis,39.17,31.58,28.22,Yes,5.0
2023-01-01,14,V7,4.12,3.98,17.28,Yes,45.4
2023-01-01,14,Sina Cola,8.82,7.95,13.18,Yes,11.7
2023-01-01,15,Shams-Cola,21.96,24.27,22.69,Yes,12.2
2023-01-01,15,Pepsi,16.34,17.18,12.78,Yes,40.4
2023-01-01,15,Coca-Cola,29.8,26.92,13.04,Yes,32.4
2023-01-01,15,Big Cola,8.09,9.69,27.18,Yes,30.5
2023-01-01,15,Spiro Spathis,30.31,25.99,13.61,Yes,39.2
2023-01-01,15,V7,14.9,17.72,14.2,Yes,12.4
2023-01-01,15,Sina Cola,30.43,25.47,22.16,No,45.9
2023-01-01,16,Shams-Cola,34.35,28.35,28.03,Yes,10.1
2023-01-01,16,Pepsi,13.94,13.85,11.8,Yes,37.6
2023-01-01,16,Coca-Cola,14.73,15.57,16.52,Yes,6.4
2023-01-01,16,Big Cola,12.89,14.49,13.49,Yes,34.2
2023-01-01,16,Spiro Spathis,23.87,24.11,19.65,Yes,47.1
2023-01-01,16,V7,37.79,31.13,20.84,Yes,45.9
2023-01-01,16,Sina Cola,37.5,43.84,22.77,No,46.6
2023-01-01,17,Shams-Cola,37.09,33.46,16.51,Yes,32.7
2023-01-01,17,Pepsi,7.84,8.39,12.1,Yes,33.8
2023-01-01,17,Coca-Cola,33.33,34.76,16.6,Yes,44.1
2023-01-01,17,Big Cola,24.17,22.05,19.58,Yes,21.9
2023-01-01,17,Spiro Spathis,24.53,25.95,10.68,Yes,13.3
2023-01-01,17,V7,13.95,14.03,20.98,Yes,15.2
2023-01-01,17,Sina Cola,32.7,34.72,26.6,Yes,16.8
2023-01-01,18,Shams-Cola,24.71,21.45,24.28,No,14.8
2023-01-01,18,Pepsi,38.4,40.84,25.59,Yes,12.1
2023-01-01,18,Coca-Cola,33.59,26.93,19.4,Yes,25.5
2023-01-01,18,Big Cola,16.59,13.56,27.44,Yes,37.1
2023-01-01,18,Spiro Spathis,9.48,11.24,28.24,No,9.4
2023-01-01,18,V7,16.75,19.22,13.03,Yes,30.7
2023-01-01,18,Sina Cola,20.72,16.92,28.71,Yes,6.0
2023-01-01,19,Shams-Cola,12.36,11.99,26.72,Yes,37.2
2023-01-01,19,Pepsi,38.17,43.79,28.86,No,38.1
2023-01-01,19,Coca-Cola,18.51,20.91,25.59,Yes,23.7
2023-01-01,19,Big Cola,20.44,20.5,25.39,Yes,16.2
2023-01-01,19,Spiro Spathis,36.68,32.45,22.28,Yes,46.7
2023-01-01,19,V7,11.66,13.98,12.88,Yes,32.0
2023-01-01,19,Sina Cola,23.29,26.75,22.65,Yes,18.4
2023-01-01,20,Shams-Cola,30.01,35.28,26.74,Yes,5.9
2023-01-01,20,Pepsi,33.6,38.46,26.85,Yes,45.4
2023-01-01,20,Coca-Cola,28.58,32.89,29.57,Yes,18.5
2023-01-01,20,Big Cola,19.7,22.6,17.01,No,22.2
2023-01-01,20,Spiro Spathis,2.14,2.13,22.36,Yes,38.8
2023-01-01,20,V7,39.57,46.72,22.83,Yes,11.7
2023-01-01,20,Sina Cola,19.11,16.89,11.07,Yes,9.4
2023-01-01,21,Shams-Cola,34.01,30.86,24.25,Yes,47.5
2023-01-01,21,Pepsi,13.94,13.15,23.38,Yes,23.9
2023-01-01,21,Coca-Cola,2.83,2.86,10.42,Yes,8.1
2023-01-01,21,Big Cola,12.42,11.28,14.89,Yes,10.3
2023-01-01,21,Spiro Spathis,2.97,3.35,20.08,No,32.8
2023-01-01,21,V7,32.18,26.85,16.77,Yes,49.8
2023-01-01,21,Sina Cola,29.7,34.43,17.22,Yes,20.6
2023-01-01,22,Shams-Cola,13.99,11.41,11.06,Yes,18.3
2023-01-01,22,Pepsi,31.02,29.9,27.64,Yes,38.8
2023-01-01,22,Coca-Cola,36.73,39.06,25.04,Yes,30.1
2023-01-01,22,Big Cola,22.82,23.72,14.81,Yes,27.2
2023-01-01,22,Spiro Spathis,6.55,7.44,27.06,Yes,30.0
2023-01-01,22,V7,8.78,8.97,14.67,Yes,40.8
2023-01-01,22,Sina Cola,3.81,3.93,10.61,Yes,21.6
2023-01-01,23,Shams-Cola,18.81,17.37,11.46,Yes,32.5
2023-01-01,23,Pepsi,30.61,31.57,16.62,Yes,30.9
2023-01-01,23,Coca-Cola,27.7,29.92,20.62,Yes,44.2
2023-01-01,23,Big Cola,17.72,20.53,21.92,Yes,20.6
2023-01-01,23,Spiro Spathis,24.4,23.71,28.25,Yes,40.3
2023-01-01,23,V7,36.2,30.58,18.28,Yes,42.5
2023-01-01,23,Sina Cola,26.31,24.52,11.23,Yes,6.4
2023-01-01,24,Shams-Cola,29.82,34.57,16.31,Yes,23.8
2023-01-01,24,Pepsi,20.83,23.36,14.71,Yes,48.1
2023-01-01,24,Coca-Cola,36.8,30.11,24.64,Yes,45.9
2023-01-01,24,Big Cola,39.38,40.71,20.51,Yes,10.3
2023-01-01,24,Spiro Spathis,12.83,13.15,26.37,Yes,7.9
2023-01-01,24,V7,20.93,21.97,22.21,Yes,41.1
2023-01-01,24,Sina Cola,3.29,3.89,18.42,Yes,19.4
2023-01-01,25,Shams-Cola,6.96,5.74,26.13,Yes,7.3
2023-01-01,25,Pepsi,16.95,18.69,20.33,Yes,8.5
2023-01-01,25,Coca-Cola,8.85,9.12,20.43,Yes,41.3
2023-01-01,25,Big Cola,18.44,18.26,19.11,Yes,46.3
2023-01-01,25,Spiro Spathis,19.92,18.73,23.87,No,22.8
2023-01-01,25,V7,4.14,4.3,29.66,Yes,7.1
2023-01-01,25,Sina Cola,8.5,7.54,29.46,Yes,39.8
2023-01-01,26,Shams-Cola,25.31,28.12,17.63,Yes,10.7
2023-01-01,26,Pepsi,10.51,12.55,17.35,Yes,47.9
2023-01-01,26,Coca-Cola,7.51,7.67,19.35,Yes,37.6
2023-01-01,26,Big Cola,32.78,36.31,23.98,Yes,17.6
2023-01-01,26,Spiro Spathis,31.43,29.84,28.33,No,8.9
2023-01-01,26,V7,14.53,14.68,23.34,Yes,30.2
2023-01-01,26,Sina Cola,28.4,32.2,22.82,No,48.8
2023-01-01,27,Shams-Cola,17.33,15.25,13.07,Yes,32.4
2023-01-01,27,Pepsi,10.51,10.05,15.2,Yes,46.0
2023-01-01,27,Coca-Cola,34.3,38.21,21.47,Yes,25.7
2023-01-01,27,Big Cola,2.15,2.47,17.64,Yes,39.2
2023-01-01,27,Spiro Spathis,13.15,11.54,10.1,Yes,43.3
2023-01-01,27,V7,10.88,11.65,10.36,Yes,20.3
2023-01-01,27,Sina Cola,15.71,18.12,23.39,Yes,34.5
2023-01-01,28,Shams-Cola,7.73,6.36,20.66,Yes,28.5
2023-01-01,28,Pepsi,21.99,24.32,24.3,Yes,12.7
2023-01-01,28,Coca-Cola,23.58,21.96,10.46,Yes,35.0
2023-01-01,28,Big Cola,34.37,32.85,20.52,Yes,47.9
2023-01-01,28,Spiro Spathis,19.11,16.96,16.37,Yes,44.1
2023-01-01,28,V7,25.36,27.38,15.97,Yes,36.4
2023-01-01,28,Sina Cola,27.44,27.98,12.3,Yes,43.8
2023-01-01,29,Shams-Cola,27.26,28.25,16.62,No,41.3
2023-01-01,29,Pepsi,25.92,28.89,20.18,Yes,44.6
2023-01-01,29,Coca-Cola,34.89,31.96,17.98,Yes,21.5
2023-01-01,29,Big Cola,37.89,43.27,25.99,Yes,9.2
2023-01-01,29,Spiro Spathis,31.23,32.32,10.95,Yes,35.9
2023-01-01,29,V7,39.59,37.22,13.73,Yes,45.5
2023-01-01,29,Sina Cola,30.87,36.61,21.44,Yes,36.6
2023-01-01,30,Shams-Cola,7.36,7.75,21.54,Yes,26.7
2023-01-01,30,Pepsi,10.21,9.23,28.77,Yes,38.6
2023-01-01,30,Coca-Cola,26.01,20.84,10.02,Yes,15.9
2023-01-01,30,Big Cola,14.79,16.22,18.18,Yes,18.3
2023-01-01,30,Spiro Spathis,33.36,37.92,25.23,Yes,7.5
2023-01-01,30,V7,6.24,6.6,14.11,Yes,37.7
2023-01-01,30,Sina Cola,20.96,19.76,26.94,Yes,8.9
2023-01-01,31,Shams-Cola,18.47,18.83,23.18,Yes,49.5
2023-01-01,31,Pepsi,27.26,32.23,18.09,Yes,39.2
2023-01-01,31,Coca-Cola,38.68,42.33,28.55,Yes,15.1
2023-01-01,31,Big Cola,38.43,40.5,28.62,Yes,5.9
2023-01-01,31,Spiro Spathis,26.0,24.61,20.7,Yes,37.1
2023-01-01,31,V7,27.67,31.83,26.84,Yes,47.7
2023-01-01,31,Sina Cola,37.42,38.14,21.22,Yes,5.3
2023-01-01,32,Shams-Cola,12.51,14.2,27.1,Yes,21.5
2023-01-01,32,Pepsi,23.48,26.99,27.26,Yes,17.8
2023-01-01,32,Coca-Cola,33.75,28.41,21.72,Yes,33.5
2023-01-01,32,Big Cola,26.11,24.09,10.81,Yes,46.6
